replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi
1,283.15,10.0,500.0,0.5408758753008989,500.0
1,288.15,15.0,500.0,0.27718733039615123,500.0
1,293.15,20.0,500.0,0.5435042027627176,500.0
1,298.15,25.0,500.0,0.2637918831907286,500.0
1,303.15,30.0,500.0,-0.2394174649374231,151.5151515151515
1,308.15,35.0,500.0,-0.7482658837957287,242.4242424242424
1,313.15,40.0,474.7474747474747,0.022907896416654108,131.3131313131313
2,283.15,10.0,500.0,0.8993689053441783,500.0
2,288.15,15.0,500.0,0.36428265308793395,500.0
2,293.15,20.0,500.0,0.2360211624376827,500.0
2,298.15,25.0,500.0,0.1940227297729981,500.0
2,303.15,30.0,500.0,0.08701511113479285,217.17171717171715
2,308.15,35.0,500.0,-4.608270397160575,257.57575757575756
2,313.15,40.0,479.7979797979798,4.842566085799769,479.7979797979798
3,283.15,10.0,500.0,0.6761262581408785,500.0
3,288.15,15.0,500.0,0.3067738914041656,500.0
3,293.15,20.0,500.0,0.04291156151169839,500.0
3,298.15,25.0,500.0,0.1016823841925639,500.0
3,303.15,30.0,500.0,-2.3209978853179023,348.48484848484844
3,308.15,35.0,500.0,-3.9284929654326737,333.3333333333333
3,313.15,40.0,202.02020202020202,0.032372187680362596,80.8080808080808
4,283.15,10.0,500.0,0.510471597179392,500.0
4,288.15,15.0,500.0,0.39707537414771255,500.0
4,293.15,20.0,500.0,0.37999744966970767,398.98989898989896
4,298.15,25.0,500.0,0.3479490710356412,500.0
4,303.15,30.0,500.0,-0.07017097644662325,166.66666666666666
4,308.15,35.0,338.38383838383834,-4.816641598995805,338.38383838383834
4,313.15,40.0,500.0,0.6025574668920989,176.76767676767676
5,283.15,10.0,500.0,0.7946525216919278,500.0
5,288.15,15.0,500.0,0.8165827401161236,500.0
5,293.15,20.0,500.0,0.660226623691173,358.58585858585855
5,298.15,25.0,500.0,0.25518936576632234,500.0
5,303.15,30.0,500.0,0.011981337282748375,131.3131313131313
5,308.15,35.0,500.0,-3.0403097619491954,292.9292929292929
5,313.15,40.0,500.0,-1.7045604320945518,121.2121212121212
6,283.15,10.0,500.0,1.8754213179143833,500.0
6,288.15,15.0,500.0,0.8156457259588776,500.0
6,293.15,20.0,500.0,1.20499281114031,500.0
6,298.15,25.0,500.0,0.12371154191674047,500.0
6,303.15,30.0,500.0,-0.054192357104614106,136.36363636363635
6,308.15,35.0,500.0,-0.5930565214439868,454.5454545454545
6,313.15,40.0,217.17171717171715,1.0679638446439563,131.3131313131313
7,283.15,10.0,500.0,0.4761066402725018,500.0
7,288.15,15.0,500.0,0.3222167177025762,500.0
7,293.15,20.0,500.0,0.0729120491929029,500.0
7,298.15,25.0,500.0,0.22912340735230932,500.0
