replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq_mi,log10_eps_t_eq,hessian_norm,non_normality
2,291.15,18,0.022546093,7,1,1.565117642,1.569651105,0.008237823,(-0.0002634409181998754+0j),(0.18846885192891197+0j),0.188732293,0.025957786,0.913048325,0.887090539,0.457288007,0.425202506,1.075459343,1000,-2.968406003,8.56E-07,53.96720295
2,293.15,20,0.262250498,4,1,0.716052222,0.716066833,1.19E-06,(-3.120124564945979e-07+0j),(0.31446145734521497+0j),0.314461769,0.038680623,2.178295553,2.13961493,0.564999797,0.516909512,1.093034244,924.6231156,-2.927330978,2.14E-06,107.8967928
2,295.15,22,-5.66E-11,2,1,0.620435217,0.620435217,3.89E-11,(-0.040218299133315316+0j),(0.2659792891158578+0j),0.306197588,-0.030465377,14.8558486,14.88631398,0.177341005,0.167709086,1.057432301,281.4070352,-2.425082378,5.62E-07,4387.75371
2,297.15,24,4.76E-06,4,1,0.650841487,0.650849156,5.36E-06,(-0.007557380447083524+0j),(0.22824056824567612+0j),0.235797949,0.027480256,33.3919141,33.36443385,0.149150914,0.170066038,0.877017634,351.758794,-2.603236638,9.45E-07,16289.16242
2,299.15,26,0.05901172,6,1,1.237328495,1.237499727,2.24E-05,(-7.478944172786865e-07+0j),(0.824301897455939+0j),0.824302645,0.021616148,3.223670204,3.202054056,0.227346106,0.352278885,0.645358309,1000,-3.190199094,5.02E-06,210.2508395
2,301.15,28,-4.07E-08,3,1,0.58959815,0.589598142,6.29E-09,(-0.027704847723914464+0j),(1.003611054195463+0j),1.031315902,0.101500055,9.535038679,9.433538623,0.158328122,0.238068621,0.665052463,170.8542714,-2.409769934,4.87E-06,1485.741026
2,303.15,30,,0,0,-8.88E-16,3.40E-07,0.999999998,(0.0032297872913191936+0j),(0.9982030560017358+0j),0.994973269,0.003229787,3.19923716,3.196007373,0.079563225,0.607201468,0.131032662,90.45226131,-2.839039864,6.94E-05,237.6144645
2,305.15,32,0.004660365,6,1,1.2619543,1.262102143,7.28E-05,(-0.00023979186774829907+0j),(1.22437626870146+0j),1.224616061,0.267797795,9.022740839,8.754943043,0.1017575,0.18935041,0.537403115,1000,-3.269699821,1.32E-05,1261.979282
2,307.15,34,1.03E-10,2,1,0.483462761,0.483462761,3.15E-10,(-0.0005659181747831202+0j),(0.45991313444268944+0j),0.460479053,-0.000292592,2.799962048,2.80025464,0.057617088,0.459815023,0.125304928,376.8844221,-3.478240035,0.000255388,278.9265391
2,309.15,36,-1.71E-07,3,1,0.422147668,0.422147521,1.51E-07,(-0.0007104227759778491+0j),(4.968349308220794+0j),4.969059731,0.007549709,5.443622336,5.436072628,0.043104297,0.663075169,0.065006653,165.8291457,-3.40670306,0.000464941,116.5128978
2,311.15,38,8.45E-07,2,1,0.633760073,0.633761562,2.23E-06,(-0.0006607117704609576+0j),(0.671492737337031+0j),0.672153449,-0.000432081,34.48401251,34.48444459,0.020850684,0.155348844,0.134218471,1000,-3.872187712,2.05E-05,17016.84115
2,313.15,40,1.45E-10,2,1,0.649950681,0.649950681,1.40E-10,(-0.000332736334639942+0j),(0.6376670339624592+0j),0.63799977,-0.00022955,8.318158309,8.318387859,0.069985054,0.248872234,0.281208768,236.1809045,-2.924215924,1.94E-05,1106.711569
3,283.15,10,0.481402612,4,1,0.687919337,0.68990968,0.000226336,(-2.758572247278317e-06+0j),(0.06712131473915645+0j),0.067124073,0.015289112,2.634883225,2.619594113,1.347174514,0.630505097,2.136659197,1000,-2.670264743,1.76E-07,130.1838487
3,285.15,12,0.005014916,4,1,1.158024214,1.160043199,0.00101997,(-0.002925191349303647+0j),(0.08083440899365191+0j),0.0837596,0.002788874,3.289828038,3.287039164,2.453114813,0.624818891,3.926121391,1000,-2.406036277,2.12E-07,224.1889343
3,287.15,14,0.002086372,5,1,1.432589448,1.433058847,0.000165186,(-0.005947457499197287+0j),(0.12394423161258905+0j),0.129891689,5.71E-05,1.480186201,1.480129067,1.499835443,0.602645087,2.488754119,1000,-2.604018008,3.94E-07,99.67026845
3,289.15,16,0.135330485,6,1,1.397984216,1.404108052,0.003573283,(-1.866581481120591e-08+0j),(0.04715850926433456+0j),0.047158528,0.022588233,1.817675366,1.795087132,0.684327372,0.652054089,1.049494794,1000,-2.979019712,5.76E-07,98.27160393
3,291.15,18,-0.005071225,6,1,1.61935371,1.616679113,0.007325739,(-0.010565881547063652+0j),(0.22757913496484297+0j),0.238145017,-0.00017836,1.010872605,1.011050965,0.439176558,0.382195937,1.149087459,1000,-2.939646915,7.74E-07,62.87830005
3,293.15,20,0.273193497,4,1,0.597013301,0.600876901,0.000813884,(-6.361483731789364e-05+0j),(0.5144632383230604+0j),0.514526853,0.041727888,2.501632163,2.459904275,0.819061035,0.538695445,1.520452871,1000,-2.818027037,2.56E-06,150.1943983
3,295.15,22,0.041063819,5,1,1.124359439,1.159788022,0.101459065,(-0.0005572154351348961+0j),(0.574075374024009+0j),0.574632589,0.02682969,10.38625457,10.35942488,0.320875365,0.293203718,1.094376864,1000,-2.960833097,1.29E-06,2562.126245
3,297.15,24,-1.46E-08,2,1,0.144689122,0.144689207,9.36E-09,(-0.018302364819912292+0j),(0.31080111732903726+0j),0.329103482,-0.001500938,47.98618642,47.98768736,0.073403566,0.199837141,0.367316932,738.6934673,-3.30342331,5.99E-07,27214.03134
3,299.15,26,0.121764068,4,1,1.07210892,1.072272068,2.78E-05,(-8.863142533634868e-06+0j),(0.7236008340581591+0j),0.723609697,0.037097159,2.903817868,2.866720709,0.227321271,0.326405044,0.696439209,1000,-3.157116786,6.20E-06,206.6899029
3,301.15,28,0.511798351,4,1,0.631190706,0.631205814,3.45E-06,(-3.1275806359164904e-07+0j),(1.4949001052495028+0j),1.494900418,0.147576592,9.990197692,9.8426211,0.159150082,0.300584263,0.52946911,914.5728643,-3.237377684,9.35E-06,1919.108043
3,303.15,30,-4.36E-12,1,1,2.97E-13,-4.44E-16,2.18E-12,(-0.0011656369432562503+0j),(0.9571810859240673+0j),0.958346723,-0.001165637,3.301844128,3.303009765,0.08042594,0.726772523,0.110661779,135.678392,-3.08851304,9.30E-05,252.2839266
3,305.15,32,9.48E-07,6,1,1.491362585,1.491367835,4.20E-06,(-0.0028891205082314042+5.119709421431565e-05j),(1.4534086509086825+0j),1.456297772,0.005239384,25.67424184,25.66900246,0.100161315,0.089591606,1.117976554,758.7939698,-2.831691175,3.52E-06,10602.1015
3,307.15,34,0.218449147,6,1,1.065221507,1.067928937,0.000724301,(-3.1657097645177653e-06+0j),(0.7240249365928196+0j),0.724028102,0.134301017,2.033959527,1.89965851,0.057897816,0.454454092,0.127400803,1000,-3.894827834,0.000165984,200.8547037
3,309.15,36,1.27E-08,2,1,0.097901483,0.097901486,3.42E-09,(-0.0014519777113946395+0j),(2.5683830493911155+0j),2.569835027,0.003289828,2.982843964,2.979554135,0.044636537,1.288010279,0.03465542,110.5527638,-3.503798443,0.000352756,203.0455572
3,311.15,38,-1.03E-08,2,1,0.69314509,0.693145091,3.09E-08,(-0.00144487568133672+0j),(0.36563282149519044+0j),0.367077697,-0.001444702,27.93997665,27.94142135,0.0208408,0.139858223,0.149013762,371.8592965,-3.397152263,2.01E-05,12042.44821
3,313.15,40,1.47E-09,2,1,0.655839779,0.655839792,2.39E-08,(0.0002695987379911914+0j),(0.5750138398432991+0j),0.574744241,0.000336606,8.734471083,8.734134477,0.069942863,0.530010949,0.13196494,221.1055276,-3.224141036,2.66E-05,1282.972489
4,283.15,10,0.335577379,5,1,0.805225083,0.806991925,0.000702841,(-6.287222206887164e-12+0j),(0.08699464172673699+0j),0.086994642,0.015900142,2.083190157,2.067290015,1.362736071,0.618475836,2.203378031,1000,-2.656910985,1.97E-07,92.99249516
4,285.15,12,2.00E-05,3,1,0.972046439,0.972061641,1.70E-05,(-0.00247373109974939+0j),(0.0650429631341739+0j),0.067516694,-0.002382994,5.744376936,5.74675993,2.321105,0.325155971,7.13843572,854.2713568,-2.077992792,2.07E-07,491.1443346
4,287.15,14,5.46E-07,4,1,1.27773257,1.277733316,1.75E-06,(-0.0015624668816632552+0j),(0.0968313722167882+0j),0.098393839,-0.001035802,1.993992203,1.995028006,1.498895236,0.483858421,3.097797146,683.4170854,-2.343632857,3.40E-07,110.5455209
4,289.15,16,0.068794963,6,1,1.26931598,1.270115831,0.000723904,(-2.559550273337057e-06+0j),(0.104518513549058+0j),0.104521073,0.019316358,2.579545255,2.560228896,0.688668106,0.72678441,0.947554868,1000,-3.023395633,7.25E-07,152.8703168
4,291.15,18,0.244216523,6,1,0.884654001,0.887618791,0.000496746,(-1.4121175255943425e-07+0j),(0.19129690030237623+0j),0.191297042,0.073763926,1.624670453,1.550906527,0.568709413,0.498106579,1.141742425,1000,-2.942431861,1.14E-06,75.00748102
4,293.15,20,0.001262095,4,1,0.856407548,0.856493869,3.30E-05,(-0.003331764697795172+0j),(0.5214770488766087+0j),0.524808814,0.010293237,2.673238345,2.662945109,0.821487317,0.456183274,1.80078351,1000,-2.744538495,1.51E-06,165.3008915
4,295.15,22,0.318748102,3,1,0.611171392,0.611174025,2.79E-07,(-8.979530602737249e-09+0j),(0.3043960709858476+0j),0.30439608,0.011677985,14.55605378,14.54437579,0.161705108,0.148192207,1.091184963,889.4472362,-2.911221817,7.10E-07,3463.757646
