replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq,log10_eps_t_eq,hessian_norm,non_normality
1,273.15,0.0,-5.5577740346582365,18,0.782608695652174,0.9724141895361083,1.740712365690391,0.9993812263884615,(5.2261271742478874e-05+0j),(0.014176009555629336+0j),0.014123748283886857,0.0013645911967671933,6.3671244856665545,6.365759894469788,0.6928246457334685,0.4534438071914173,1.5279173179687922,300.0,-2.293021401344824,4.36463915904803e-07,548.7700742957416
1,274.15,1.0,-4.1473968144070605,22,0.88,1.3927762061097981,1.7407251467580362,0.9977396747666673,(5.4369207227532266e-06+0j),(0.04847324939457891+0j),0.048467812473856155,0.0016974947754848145,3.0784363001891837,3.076738805413699,2.204426023091535,0.7099622680932752,3.1049903947880177,300.0,-1.9850609936843624,3.6156768639788033e-07,192.78384296351237
1,275.15,2.0,-4.46649432814226,9,0.8181818181818182,0.4324324811867821,1.2163412002290386,0.9993842157407605,(0.00033390436064500203+0j),(0.01980204564819746+0j),0.019468141287552455,0.004387952162607894,3.3602229780126507,3.355835025850043,2.462942966670487,0.7811334926233187,3.1530372080181404,300.0,-1.978392158966488,3.863565551180622e-07,201.9264284026003
1,276.15,3.0,-6.196346755787731,21,0.84,1.3281886253595168,1.0161419703142294,0.9988163186203587,(0.00020775829342722368+0j),(0.03504887679440948+0j),0.03484111850098226,0.004072130603204521,1.8442128211230908,1.8401406905198863,1.9098363896567776,0.48179912990676405,3.9639681168090983,300.0,-1.8789911020319445,3.109846476010439e-07,89.53180408822878
1,277.15,4.0,-6.582980556875092,13,0.7222222222222222,0.7832832626279915,1.1543029657181334,0.9997961293401086,(1.1693564535703866e-07+0j),(0.01598780161940268+0j),0.015987684683757324,0.0026901059210052165,6.092379095619921,6.0896889896989155,0.4998507408632547,0.43049504660073645,1.161106834585352,300.0,-2.412249073278865,1.3034728220822238e-06,614.4342534591682
1,278.15,5.0,-5.466049035923421,14,0.875,0.8409183765050062,1.248943497530236,0.9996865098665951,(6.514507471800316e-08+0j),(0.05329117886269391+0j),0.053291113717619194,0.0022331281281350616,4.525759443854833,4.523526315726698,2.481572443233621,0.6329651992052282,3.9205511556552626,300.0,-1.8837741297823847,4.436799681731449e-07,295.2180071842875
1,279.15,6.0,-6.913046545971949,10,0.5,0.4694344668177453,1.1711538276072753,0.9998229449762295,(7.117287475321615e-08+0j),(0.0020181402563994423+0j),0.0020180690835246893,0.0025162731508534928,4.051429419326849,4.0489131461759955,1.892839782096718,0.7042264369478922,2.687828350069134,300.0,-2.04771972434014,7.04511568379469e-07,369.18581130261487
1,280.15,7.0,-7.037801470770486,6,0.5454545454545454,0.027182840301246073,0.5566411689148701,0.9998946236964801,(1.4585265638710806e-05+0j),(-0.011122082488844623+0j),0.011136667754483335,0.005422701512677337,7.055693254798047,7.05027055328537,1.5288308836681808,0.9432970576638875,1.6207311061208978,300.0,-2.267410287258396,8.332128362356423e-07,727.7176281519626
1,281.15,8.0,-6.391026417273659,10,0.7142857142857143,1.053125985603394,1.5815377944742521,0.9996958976817756,(1.57970830138998e-07+0j),(0.025806701857186764+0j),0.025806543886356625,0.009650688715170698,4.012309109830284,4.002658421115113,1.9193979203674163,0.6429101007405995,2.985484157359432,300.0,-2.002106483803985,4.7049215455395076e-07,309.1207428936359
1,282.15,9.0,-6.482119209182466,11,0.6470588235294118,1.5898524464459054,1.3358505475400957,0.9990310468671098,(0.0010760354375778458+0j),(0.055597160323936766+0j),0.05452112488635892,0.006421279069602815,0.8829616415952495,0.8765403625256467,2.1663314700451037,0.6710313891548356,3.2283608562240276,300.0,-1.9681391818580407,2.4010962489212206e-07,30.957744266980548
1,283.15,10.0,-7.03220559367179,11,0.7857142857142857,1.1012613528663164,1.2535551937384168,0.9996050633998844,(3.2137390743792277e-10+0j),(0.08248911838347994+0j),0.08248911806210603,0.004930092281825742,5.335241317676486,5.33031122539466,0.42673146536832435,0.4056594975476247,1.0519449635669527,300.0,-2.4551282360468347,4.349811958652162e-07,476.6241452834094
1,284.15,11.0,-8.079321548523282,5,0.5,0.9966430536755743,0.8676641230743676,0.9998431627374843,(2.414092686755655e-07+0j),(0.0243041789756413+0j),0.024303937566372624,0.010405607442629038,3.6234265670870625,3.6130209596444334,0.5251366150527494,0.4644066309473986,1.1307689857516903,300.0,-2.423747366382208,4.360004194099354e-07,259.95007075344586
1,285.15,12.0,-6.493235045213042,9,0.5,1.0641514664949465,0.7334646628498956,0.9978975662155761,(3.3179890131123345e-06+0j),(0.0839253503944695+0j),0.08392203240545638,0.0035701011941450395,3.882454255269986,3.878884154075841,0.9536112115870623,0.6602870180831468,1.4442374080827052,300.0,-2.317482664986418,4.32902707491107e-07,233.59507109571382
1,286.15,13.0,-8.790817392432347,4,0.4,1.153407430100907,0.9302302551264592,0.9996010080258693,(4.308059392825628e-08+0j),(0.17365681481144607+0j),0.17365677173085214,0.0016482675062985243,4.16832101710221,4.166672749595912,1.1464196267029083,0.5851773712667365,1.9590976736185948,300.0,-2.185065165812148,4.193139451434021e-07,320.2430720028039
1,287.15,14.0,-8.497956197901917,5,0.7142857142857143,1.3199454681837275,1.442250243783148,0.9997130807561901,(5.474813679699219e-09+0j),(0.09661926169205157+0j),0.09661925621723788,0.011601794885464044,3.1823706846297166,3.1707688897442527,1.1713837792665174,0.44553300819140834,2.629173950593738,300.0,-2.057301934005536,3.840831628303582e-07,205.75356638249244
1,288.15,15.0,-9.337445618485633,3,0.5,0.6503876178154001,0.25783748475879,0.9997190963965579,(4.4444909555516877e-08+0j),(-0.027097609048084087+0j),0.027097653492993642,0.018980793415960685,8.810748249776617,8.791767456360656,0.3209914416992833,0.27494915858137203,1.16745744324322,300.0,-2.4098801963179097,5.866800935401583e-07,1106.380797816993
1,289.15,16.0,-8.866339136876102,7,1.0,1.2180689370129232,1.2480194025856202,0.999145556654795,(6.847472519903258e-11+0j),(0.016735221850804977+0j),0.01673522178233025,0.0024533569959806737,5.744935927872442,5.7424825708764615,0.8064484513060776,0.4141516388173589,1.9472298929178493,300.0,-2.1877040267067107,4.989592860923384e-07,629.8240459507741
1,290.15,17.0,-8.236429045132184,4,0.8,0.22879160487812064,0.02334426234067579,0.9996137545030936,(3.535253673955395e-07+0j),(0.009664825475087525+0j),0.00966447194972013,0.005439291708303025,9.619928716284505,9.614489424576202,0.44277505169745757,0.43315404265189056,1.0222115185319858,300.0,-2.467580484335333,1.0251046296060964e-06,1262.7562977483524
1,291.15,18.0,-9.428024286776681,7,1.0,0.9851274237027361,0.5924432188701894,0.9998068815381752,(0.0002539457693713947+0j),(0.22873238723660927+0j),0.22847844146723786,0.008601018064620245,1.4300686333831754,1.421467615318555,0.7489470859507429,0.7159842321104887,1.046038519232596,300.0,-2.4575735774712446,1.446962618899827e-06,58.657999452408795
1,292.15,19.0,-7.510121937352724,6,0.6,1.1577534841005426,0.5073252412625464,0.9997359290909511,(-9.807618867757631e-11+0j),(0.15341374421288378+0j),0.15341374431095997,0.007232920630973377,6.419097787604265,6.411864866973292,0.37440346637921995,0.3481933009696555,1.0752747549610342,300.0,-2.445601805056684,7.635196384343107e-07,703.4717843109728
1,293.15,20.0,-9.38998371861307,4,0.5,0.7811440006996259,0.967793951018684,0.9999907412913605,(3.670510256513646e-09+0j),(0.13232932481530968+0j),0.13232932114479942,0.007148027829113467,8.984667661811507,8.977519633982393,0.5304022493231264,0.4182963616268772,1.268005887644436,300.0,-2.3739999846396,1.8528960992862105e-06,1126.0339316469301
1,294.15,21.0,-12.14179747561851,4,0.8,0.985658624473885,0.6230110004671859,0.9999701740367236,(5.566778595298828e-07+0j),(0.03105191483044322+0j),0.03105135815258369,0.001503032738120999,6.478582928856094,6.4770798961179725,0.3528026976110333,0.3342082264871451,1.0556373830750194,300.0,-2.453606493315904,1.1878348066929656e-06,653.8701463288011
1,295.15,22.0,-11.51301713319821,3,0.6,0.16225954444847446,0.25673424029915365,0.9999970047236919,(2.9259297188074618e-05+0j),(0.45627890628650364+0j),0.4562496469893156,0.006741291367787398,41.660244186909765,41.653502895541976,0.12078969776305219,0.16453481261134006,0.7341285156982464,300.0,-2.61134916105296,2.952402556141226e-06,25000.731123489757
1,296.15,23.0,-9.36434687353419,3,0.42857142857142855,1.1258222841678618,0.4444056665710753,0.999993030759832,(-2.4688004312776563e-10+0j),(0.10591679383892064+0j),0.10591679408580068,0.002870931848935847,12.862622449463245,12.85975151761431,0.13462748146700812,0.12830938932420874,1.0492410740638396,300.0,-2.456245971381104,8.346916673251012e-07,2599.1547322507017
1,297.15,24.0,-14.251408245552444,4,0.5714285714285714,1.568646387833683,0.7107128968455709,0.9999959440931665,(0.00038299317082822264+0j),(0.676174576239419+0j),0.6757915830685908,0.007108309807336765,1.544743658716704,1.5376353489093673,0.3553218553553479,0.37108281046020225,0.9575271215465134,300.0,-2.495970170699184,5.472716055849264e-06,86.18616898162824
