replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq_mi,log10_eps_t_eq,hessian_norm,non_normality
1,283.15,10.0,0.20803868485700874,4,1.0,0.8385289816483422,0.8458462476346218,0.0013259585106800316,(-3.2516942847322756e-05+0j),(0.07768936803426431+0j),0.07772188497711163,0.008194912089197893,2.0723699882228757,2.0641750761336777,1.3596756842470166,0.5726229930467088,2.3744692419923625,1000.0,-2.6244334517376835,1.7147616144680683e-07,90.47659228948238
1,285.15,12.0,0.5313974686220774,5,1.0,1.0542559237627587,1.0557172649400766,0.00021961346051037296,(-3.229752155569835e-06+0j),(0.0767585550000655+0j),0.07676178475222106,0.018199526300816622,4.447996083288188,4.429796556987371,0.6584731547355771,0.5756874268221996,1.1438032586022515,1000.0,-2.941648670518005,2.0384303799360947e-07,334.2025806525114
1,287.15,14.0,0.20178955631299345,6,1.0,1.4265624246041475,1.4265752274465988,2.0196619275125494e-05,(-1.5863929978196918e-09+0j),(0.1490652918226589+0j),0.1490652934090519,0.004388209515474035,1.349912707068577,1.3455244975531029,1.576860436827117,0.7159284248110375,2.2025392234472525,874.3718592964825,-2.5987725206798293,4.489408612632975e-07,72.0800574111569
1,289.15,16.0,0.14013485642510565,7,1.0,1.4418950806901156,1.442605225208197,0.0006517306844881906,(-9.68418626807156e-10+0j),(0.03636923813891621+0j),0.03636923910733484,0.020910927034576175,1.4743818032043285,1.4534708761697523,0.6855106593995358,0.7098106398539739,0.9657655449354251,1000.0,-3.0151282927349476,6.090517851789025e-07,68.88529578068592
1,291.15,18.0,0.05446537111871164,6,1.0,1.2493997116615436,1.2490174778415581,0.0004414277939687468,(-3.44534350967518e-10+0j),(0.2190843578885807+0j),0.21908435823311503,0.039277899231996316,1.6104469505673438,1.5711690513353473,0.4511178851128208,0.3983514294140627,1.1324620719357592,1000.0,-2.945976334326029,9.500237422228799e-07,74.67868472676535
1,293.15,20.0,-4.1283337700501326e-07,3,1.0,0.75748942864382,0.7574893964869256,2.9940677891039823e-07,(-0.003113257207678716+0j),(0.5077826795604535+0j),0.5108959367681323,0.0038851947995439083,2.208792824445776,2.204907629646232,0.4920361521060332,0.45822199557716825,1.073794267528064,708.5427135678393,-2.8194449551019476,2.068633527246575e-06,146.5320874219
1,295.15,22.0,-0.4166346189094936,6,1.0,0.43259091607718725,0.4420858583687524,0.0033491793936408065,(-2.1242812803107175e-06+0j),(0.7020906574312807+0j),0.7020927817125611,0.11211520220679091,16.541652805259808,16.429537603053017,0.2636968205338892,0.25314881579627224,1.041667209480868,1000.0,-2.982271006728064,1.3769037331652648e-06,4676.058008576411
1,297.15,24.0,9.189768763593396e-05,3,1.0,0.3214905713114945,0.32152014755347835,2.0398303877944123e-05,(-0.00026562775550970324+0j),(0.35506109007524106+0j),0.35532671783075076,0.0036014836733339363,43.36607101131253,43.36246952763919,0.09628729504573882,0.08352389583262033,1.1528113492059326,643.2160804020101,-2.7465986498655663,1.0218538463020602e-06,25590.184697497218
1,299.15,26.0,0.015330655061942042,4,1.0,1.126242035942035,1.1278289484413122,0.0005045101614931894,(-0.00018000468758174975+0j),(1.0605475838769771+0j),1.0607275885645588,0.002225088350130173,2.8582090253187595,2.8559839369686295,0.22766945872003042,0.32647822494522627,0.6973495973834912,1000.0,-3.156549445502149,7.634001865589988e-06,218.95552056948057
1,301.15,28.0,0.137686683677019,3,1.0,0.14085178585527044,0.14172898542633308,0.0001423110931918669,(-0.00026595041354125217+0j),(1.2159244315948046+0j),1.2161903820083457,0.1693906334750513,12.428325596647959,12.258934963172907,0.21983991868769712,0.3870156950815437,0.568038768147057,1000.0,-3.2456220230604966,9.732416829751468e-06,2210.1097997255356
