replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,stab_glv,stab_mi,abs_stab_err,react_glv,react_mi,abs_react_err,tau_C,tau_R,epsilon,t_eq_mi,log10_eps_t_eq,hessian_norm,non_normality
1,283.15,10.0,0.6465947833012617,8,1.0,0.48036979905416427,0.5278392801739927,0.024393718944872158,-8.526469537810994e-10,(0.05623901857274646+0j),0.056239019425393416,0.019470259373800317,4.448592387727816,4.429122128354015,1.6635177475497853,0.8034691503096412,2.0704189412981173,500.0,-2.382911772171396,2.1003205515289625e-07,298.95398414160604
1,288.15,15.0,0.24141802252213473,7,1.0,0.9211312706769484,0.9427617206238577,0.009091536897823741,-6.249249378703492e-10,(0.3684228291657556+0j),0.36842282979068053,0.03584185453568996,1.3907583037626803,1.3549164492269903,1.3797378080437686,0.92499462914042,1.4916171019565085,500.0,-2.5253126502670478,7.212340390162496e-07,53.87994551548116
1,293.15,20.0,0.44584102210973087,4,1.0,0.3816747247921852,0.4102395718766937,0.009100135626457917,-4.878290711273849e-05,(0.379373529388631+0j),0.37942231229574375,0.02108311253205034,11.68976545921911,11.66868234668706,0.21357000258417547,0.19076962952320217,1.119517834772543,500.0,-2.6499389877236896,1.8866786135683321e-06,2093.3780261628435
1,298.15,25.0,0.16317751362324173,4,1.0,0.918177353297236,0.9191909927276285,0.00013308324984026554,-6.6824009467489935e-06,(1.1583856963332368+0j),1.1583923787341837,0.008071930807182383,7.356153069823953,7.34808113901677,0.28765951638128956,0.22518848700700794,1.277416621980046,500.0,-2.5926374413576054,7.787021522968573e-06,797.6216224360908
1,303.15,30.0,-0.02717789969595101,2,1.0,0.46541903574324556,0.5086170277990587,0.05681423397651946,-0.0036689619906101903,(0.40146644618138055+0j),0.40513540817199073,0.0013218923486475282,22.907068333552274,22.905746441203625,0.10037183511612192,0.12846663427777127,0.7813066457325984,151.5151515151515,-2.2876345460582943,1.2831568651683617e-05,8211.80752907985
1,308.15,35.0,-2.420524777424449e-06,1,1.0,2.941029775144536e-11,8.94597914094081e-17,1.210262902056113e-06,-0.010677577584746084,(1.0262452766959147+0j),1.0369228542806608,-0.010677577584746084,28.202486879131982,28.21316445671673,0.06161707935077293,0.17977635285696547,0.3427429601923063,242.4242424242424,-2.849607503801399,3.05571531210932e-05,10351.238989096393
1,313.15,40.0,6.224369277733453e-07,3,1.0,0.17324917610034427,0.17324937580639113,1.7051166722655704e-07,-1.0152208218527151e-06,(5.2112081327844075+0j),5.21120914800523,0.10324256578197433,6.795680905617975,6.692438339836001,0.029574558412327326,0.6999089327255085,0.04225486635405742,131.3131313131313,-3.492431425275386,0.00024572809289612164,540.3172228150695
2,283.15,10.0,1.2900167334604324,8,0.8888888888888888,0.2483690688934918,0.2793218976989384,0.012812621636905244,-8.076609616752619e-11,(0.024877990262474205+0j),0.0248779903432403,0.0294289190843306,5.104807122115883,5.075378203031552,1.68054620841185,0.680277325794191,2.4703839811945714,500.0,-2.3062055417835827,2.0664546046366407e-07,424.45164370558945
2,288.15,15.0,0.3189290541924523,6,1.0,1.2199578252983425,1.2244572955786917,0.0015748759460996354,-2.489125548369912e-10,(0.26748673461388806+0j),0.2674867348628006,0.021449568503741964,1.2382007898069332,1.2167512213031912,1.4395912312907788,0.6178057439656826,2.3301680914296328,500.0,-2.3315827534614004,5.909579416760884e-07,48.58187058777842
2,293.15,20.0,0.0007307716530369129,4,1.0,1.0358417446658432,1.0367221297753628,0.0005545498387236655,-0.0032808238219463625,(0.2092656940104938+0j),0.21254651783244016,0.00035490464676738625,6.924901911736631,6.924547007089864,0.26944868444591236,0.2550727519742233,1.056360126122534,500.0,-2.6751580045801737,1.2529117573194041e-06,1525.7790083463797
