replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,ErrTraj,t_eq,t_eq_mi,stab_mi,stab_glv,abs_stab_err,react_mi,react_glv,abs_react_err,tau_C,tau_R,epsilon,log10_eps_t_eq,hessian_norm,non_normality,T_bin_K
1,283.15,10.0,0.0166247675590787,3,1.0,0.6244860521503945,0.6303208357552506,0.0028123010097035,0.3566562080135345,1000.0,1000.0,(-0.0058781395315026805+0j),(-0.004914767987697995+0j),0.0009633715438046,7.676786175099222,0.0068297380496043,7.669956437049618,0.4953257764048363,0.3240706307535015,1.528450064275022,-2.8157487454652506,1.485135185480733e-07,840.5819158326807,283.15
1,285.15,12.0,0.3880237785213773,5,1.0,0.9983122622238714,1.028794155799514,0.0140168663415748,0.4637185047847286,1000.0,1000.0,(-0.0021117875782233142+0j),(-9.206102071047777e-06+0j),0.0021025814761522,3.121735853314989,0.0402048245311599,3.081531028783829,1.491679339253262,0.4777576895228032,3.122250822887205,-2.505532211260693,2.057404090753277e-07,177.42496697490708,283.15
1,287.15,14.0,0.3959930807457521,7,1.0,0.8488226772198171,0.8521835493371487,0.0016125333850308,0.3348646544263833,1000.0,1000.0,(-0.0030133218494272323+0j),(-1.0342308801195635e-08+0j),0.0030133115071184,8.216285989534665,0.0364885610921086,8.179797428442557,1.5482372744539348,0.3079680523860408,5.027265855853141,-2.298668147460003,2.0583578096109339e-07,1042.2209447238051,287.15
1,289.15,16.0,0.1264007683080294,10,1.0,1.330926845851973,1.3536850077118916,0.0065996309069985,0.1931964723170174,1000.0,1000.0,(-0.0017499773972806203+0j),(-1.4402810747115637e-07+0j),0.0017498333691731,3.472049560665082,0.0449328562625553,3.427116704402527,1.4556418416455374,0.3640662970609307,3.9982878211929593,-2.3981259459215867,2.579472102968622e-07,266.1203019687245,287.15
1,291.15,18.0,-1.8832538810299e-08,3,1.0,0.8233744606130771,0.8233744501899026,6.585219002844669e-09,0.1309401040061412,623.1155778894473,427.1356783919599,(-0.02810279071066104+0j),(-0.01996402361031159+0j),0.0081387671003494,9.264577585979051,-0.0071188251620043,9.271696411141058,0.3183998107421289,0.2935330792823553,1.084715261123445,-2.5952500989098617,2.8713356726796176e-07,1198.7384506206783,291.15
1,293.15,20.0,0.2221860749963606,4,1.0,0.7062836295197503,0.707485426166464,0.0001868614101638,0.3795518081717113,1000.0,1000.0,(-0.00524644432605114+0j),(-1.743662934116224e-05+0j),0.0052290076967099,13.69749843132662,0.038757746198101,13.65874068512852,0.2617899583942814,0.250097814685528,1.0467502833779454,-2.980156912863805,4.0702674683789697e-07,2682.307932245564,291.15
1,295.15,22.0,0.093720434647996,4,1.0,0.832185953305697,0.8326087173015426,6.68757656113392e-05,0.2748483934224,1000.0,1000.0,(-0.004046539563619129+0j),(-7.352140440623616e-05+0j),0.0039730181592128,10.113540937907946,0.0670986022611524,10.046442335646791,0.3212467700385978,0.2808410740180734,1.1438738836966709,-2.941621855467723,6.18634557404455e-07,1775.2493814321974,295.15
1,297.15,24.0,0.1377855129231856,4,1.0,1.0029458281177832,1.0029465706403164,3.7967018608903767e-08,0.1824283751461714,979.8994974874372,738.6934673366835,(-0.012455174366066584+0j),(-4.55336026935121e-09+0j),0.0124551698127063,7.577047637965823,0.00962887460566,7.567418763360163,0.3453403713117122,0.2180014509751844,1.584119599970108,-2.6686762909042967,1.079098634938559e-06,912.1309429955728,295.15
1,299.15,26.0,-1.0155434276856346e-09,2,1.0,0.6504954538710748,0.6504954549477475,4.917666986665267e-10,0.3625460363863263,502.5125628140704,467.3366834170855,(-0.019264185728707757+0j),(-0.041699082462229364+0j),0.0224348967335216,25.351311365016556,-0.0384082015418662,25.38971956655842,0.0980260098531496,0.0839287332409145,1.1679672272875767,-2.6021992153334703,6.438241987963428e-07,9614.465699950695,299.15
1,301.15,28.0,3.048929294491753e-09,3,1.0,0.5563192962388144,0.5563193051223805,7.399592055223821e-09,0.4815524286068933,522.6130653266332,256.2814070351759,(-0.05074613976272158+0j),(-0.038010058615558166+0j),0.0127360811471634,30.142973274383387,0.0234812934222521,30.119491980961136,0.0958239703805733,0.083900286216636,1.142117324047615,-2.351006380568856,1.4811328732956728e-06,12680.752207618862,299.15
1,303.15,30.0,2.2073824238624086e-10,3,1.0,0.9112386934819064,0.9112386940672572,7.552536277489288e-11,0.5583486487770684,497.4874371859297,432.16080402010056,(-0.025841282565606763+0j),(-0.04357594184953619+0j),0.0177346592839294,16.058149481767597,-0.0158048462968878,16.073954328064485,0.1560986571184714,0.1267394844023364,1.2316497724018975,-2.5451581439022077,1.8647659910129089e-06,5316.006082035194,303.15
1,305.15,32.0,-3.1167225170571184e-10,3,1.0,0.7613205200270088,0.7613205210870766,1.8388382664755478e-09,0.2096174184769841,261.3065326633166,201.00502512562812,(-0.05538405982331531+0j),(-0.08445364514174314+0j),0.0290695853184278,38.86457267486512,-0.0668275317470995,38.931400206612224,0.0947108202705886,0.0879776655938128,1.0765325452923733,-2.271179751146825,1.4645632616873208e-06,23017.903309218356,303.15
1,307.15,34.0,-6.072453575360171,1,0.3333333333333333,-1.0935277660781961e-13,0.7819258439244918,0.9958334514583076,-4.127132790772259,1000.0,145.72864321608043,(-0.07241238928677693+0j),(-0.030793541936225473+0j),0.0416188473505514,173.9621171339951,-0.0307935419362254,173.9929106759313,0.0314013357354883,0.0286238323897668,1.0970346425978412,-2.123324579373491,4.388790192224086e-06,431894.94790932885,307.15
1,309.15,36.0,7.1799887857564984e-09,3,1.0,0.5422249849025239,0.5422249831894299,5.4054453150750035e-09,-0.0307762794374346,618.0904522613066,211.0552763819096,(-0.06647698404289777+0j),(-0.05505392637742957+0j),0.0114230576654682,25.615607342396903,0.0585163636308221,25.557090978766084,0.0910335315363,0.082654329196351,1.1013764484137742,-2.2824604285991468,1.459272103800453e-06,10326.51771526004,307.15
