replicate,T_K,T_C,ErrEqAb,overlap,jaccard,shannon_mi,shannon_lv,bray_curtis,ErrTraj,t_eq,t_eq_mi,stab_mi,stab_glv,abs_stab_err,react_mi,react_glv,abs_react_err,tau_C,tau_R,epsilon,log10_eps_t_eq,hessian_norm,non_normality
1,283.15,10.0,0.016624767559078702,3,1.0,0.6244860521503945,0.6303208357552506,0.002812301009703522,0.35665620801353454,1000.0,1000.0,(-0.0058781395315026805+0j),(-0.004914767987697995+0j),0.0009633715438046855,7.676786175099222,0.0068297380496043164,7.669956437049618,0.4953257764048363,0.3240706307535015,1.528450064275022,-2.8157487454652506,1.485135185480733e-07,840.5819158326807
1,285.15,12.0,0.38802377852137737,5,1.0,0.9983122622238714,1.028794155799514,0.014016866341574893,0.4637185047847286,1000.0,1000.0,(-0.0021117875782233142+0j),(-9.206102071047777e-06+0j),0.0021025814761522666,3.121735853314989,0.04020482453115991,3.081531028783829,1.491679339253262,0.4777576895228032,3.122250822887205,-2.505532211260693,2.0574040907532771e-07,177.42496697490708
1,287.15,14.0,0.3959930807457521,7,1.0,0.8488226772198171,0.8521835493371487,0.0016125333850308381,0.33486465442638336,1000.0,1000.0,(-0.0030133218494272323+0j),(-1.0342308801195635e-08+0j),0.0030133115071184313,8.216285989534665,0.03648856109210867,8.179797428442557,1.5482372744539348,0.30796805238604086,5.027265855853141,-2.298668147460003,2.0583578096109336e-07,1042.2209447238051
1,289.15,16.0,0.12640076830802946,10,1.0,1.330926845851973,1.3536850077118916,0.006599630906998584,0.19319647231701748,1000.0,1000.0,(-0.0017499773972806203+0j),(-1.4402810747115637e-07+0j),0.0017498333691731492,3.472049560665082,0.044932856262555367,3.427116704402527,1.4556418416455374,0.36406629706093074,3.9982878211929593,-2.3981259459215867,2.579472102968622e-07,266.1203019687245
1,291.15,18.0,-1.8832538810299e-08,3,1.0,0.8233744606130771,0.8233744501899026,6.585219002844669e-09,0.13094010400614123,623.1155778894473,427.13567839195986,(-0.02810279071066104+0j),(-0.01996402361031159+0j),0.008138767100349449,9.264577585979053,-0.007118825162004354,9.271696411141058,0.3183998107421289,0.29353307928235534,1.084715261123445,-2.5952500989098617,2.8713356726796176e-07,1198.7384506206783
1,293.15,20.0,0.2221860749963606,4,1.0,0.7062836295197503,0.707485426166464,0.00018686141016384868,0.37955180817171136,1000.0,1000.0,(-0.00524644432605114+0j),(-1.743662934116224e-05+0j),0.005229007696709978,13.69749843132662,0.038757746198101024,13.65874068512852,0.2617899583942814,0.25009781468552805,1.0467502833779454,-2.980156912863805,4.0702674683789697e-07,2682.3079322455637
1,295.15,22.0,0.09372043464799608,4,1.0,0.832185953305697,0.8326087173015426,6.68757656113392e-05,0.27484839342240003,1000.0,1000.0,(-0.004046539563619129+0j),(-7.352140440623616e-05+0j),0.003973018159212893,10.113540937907946,0.06709860226115243,10.046442335646793,0.32124677003859786,0.28084107401807346,1.1438738836966709,-2.941621855467723,6.18634557404455e-07,1775.2493814321974
1,297.15,24.0,0.13778551292318564,4,1.0,1.0029458281177832,1.0029465706403164,3.7967018608903767e-08,0.1824283751461714,979.8994974874373,738.6934673366835,(-0.012455174366066584+0j),(-4.55336026935121e-09+0j),0.012455169812706316,7.577047637965823,0.009628874605660078,7.567418763360163,0.34534037131171225,0.21800145097518445,1.5841195999701079,-2.6686762909042967,1.079098634938559e-06,912.1309429955728
1,299.15,26.0,-1.0155434276856348e-09,2,1.0,0.6504954538710748,0.6504954549477475,4.917666986665267e-10,0.3625460363863263,502.5125628140704,467.33668341708545,(-0.019264185728707757+0j),(-0.041699082462229364+0j),0.022434896733521607,25.351311365016553,-0.03840820154186626,25.38971956655842,0.09802600985314963,0.08392873324091454,1.1679672272875767,-2.6021992153334703,6.438241987963428e-07,9614.465699950695
1,301.15,28.0,3.0489292944917533e-09,3,1.0,0.5563192962388144,0.5563193051223805,7.39959205522382e-09,0.48155242860689335,522.6130653266332,256.2814070351759,(-0.05074613976272158+0j),(-0.038010058615558166+0j),0.012736081147163417,30.142973274383387,0.023481293422252126,30.119491980961136,0.09582397038057336,0.08390028621663605,1.142117324047615,-2.351006380568856,1.4811328732956728e-06,12680.752207618862
1,303.15,30.0,2.2073824238624086e-10,3,1.0,0.9112386934819063,0.9112386940672572,7.552536277489288e-11,0.5583486487770684,497.4874371859297,432.16080402010056,(-0.025841282565606763+0j),(-0.04357594184953619+0j),0.01773465928392943,16.058149481767597,-0.015804846296887814,16.073954328064485,0.15609865711847148,0.1267394844023364,1.2316497724018975,-2.5451581439022073,1.8647659910129087e-06,5316.006082035194
1,305.15,32.0,-3.1167225170571184e-10,3,1.0,0.7613205200270088,0.7613205210870766,1.8388382664755476e-09,0.20961741847698412,261.3065326633166,201.00502512562815,(-0.05538405982331531+0j),(-0.08445364514174314+0j),0.029069585318427828,38.86457267486512,-0.06682753174709957,38.931400206612224,0.09471082027058864,0.08797766559381288,1.0765325452923733,-2.271179751146825,1.4645632616873208e-06,23017.903309218353
1,307.15,34.0,-6.072453575360171,1,0.3333333333333333,-1.0935277660781959e-13,0.7819258439244918,0.9958334514583075,-4.127132790772259,1000.0,145.72864321608043,(-0.07241238928677693+0j),(-0.030793541936225473+0j),0.041618847350551456,173.9621171339951,-0.030793541936225473,173.9929106759313,0.03140133573548835,0.028623832389766818,1.0970346425978412,-2.123324579373491,4.388790192224086e-06,431894.94790932885
